shot,target_id,target_label,L0,Lm,Lnm,delta_m,delta_nm,tau,embedding_model,prefix_ratio,sample_count_limit,cache_path
7,c9e55cd84c704a536e5ae5b5d2d68a029e54d5bdeaadb752b0cc436b7a1a2930,0,-59.746368158,-62.673940339,-62.3087334323,-2.92757218104,-2.56236527436,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,650242bb6135fede1ee6b44f882b0e2a72bf84f04da83ee7aa20ef2be12c4b28,1,-38.2861763366,-36.3222956483,-41.5525963311,1.96388068837,-3.26641999445,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,da4670066b4053d399af004116f18362c8100126e05b3cc6442d0543cac4045b,0,-54.1837468948,-52.3930751293,-54.4941675646,1.7906717655,-0.310420669834,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,1c1344a9443e2176fd864385b32d9e56d49ccc335a6d06710f203d532858adcd,1,-37.0206092939,-35.9890884105,-42.0523612208,1.0315208833,-5.03175192698,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,5f06cb1e458979660ae31a2b083485a8e349fbfd6d819f633147bfd21f8da96c,0,-51.4177535478,-46.131171627,-49.347169962,5.28658192083,2.0705835858,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,b2acbdd09e64a4f1c83a17e91c6f936432272b02911e3911a6f47cb60f521866,1,-59.5746630743,-57.5105114134,-62.8403845211,2.06415166083,-3.26572144688,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,9a5b4d26efbf53daee60c23bbe55f5377ea35e4073079bc26002bf70c439ec26,0,-45.5266736439,-43.1288181224,-38.785788739,2.39785552151,6.74088490492,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,be6ec6718d062856aafe611e770b717e9139d54675c1640027419a33a59b01ff,1,-37.8269734162,-33.3546532695,-36.7052913605,4.47232014676,1.12168205569,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,0cd63abdb9bb77ae234e3c0554cc1b6a3f595fd96becea298dfe0318dbfdba2e,0,-73.7386911393,-72.9308190557,-69.4821646051,0.807872083588,4.25652653421,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,fcca9b8fcfb5dd127082dd114ccb04d4d2bf03f670197c0dac9b74bc6ad2299b,1,-49.7927248017,-49.6412419617,-50.8716995516,0.151482839974,-1.07897474991,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
